image,3dcoors,truth
4,-254.3318 -104.1240 -26.4695,-251.9954 -102.5567 -22.6821
5,-263.7629 -78.8149 46.9454,-261.2843 -78.0145 47.8615
6,-268.4507 -66.5209 48.3921,-266.9150 -66.2891 48.5054
7,-254.0096 -92.4209 -8.5523,-255.4562 -104.5257 4.9382
8,-262.8989 -98.1177 -9.9496,-260.2966 -97.3242 -6.4347
9,-278.0387 -54.2698 14.3738,-276.1004 -53.3325 15.3103
10,-274.3661 -61.1281 29.4683,-273.1714 -59.3925 31.4563
11,-272.4119 33.8456 31.8849,-271.5624 33.8995 32.9375
12,-270.3438 46.0640 -23.7199,-267.4427 46.3583 -23.4953
13,-277.1857 30.5745 5.2037,-273.6170 30.6526 8.3074
