image,coors,
0,-255.7442 -108.8326   15.3302,
1,-266.4381  -63.0780   52.4038,
2,-278.3877  -44.8932   40.6711,
3,-250.3086 -106.9278   -3.0517,
4,-251.9954 -102.5567  -22.6821,
5,-261.2843  -78.0145   47.8615,
6,-266.9150  -66.2891   48.5054,
7, -255.4562 -104.5257    4.9382,
8,-260.2966  -97.3242   -6.4347,
9,-276.1004  -53.3325   15.3103,
10,-273.1714  -59.3925   31.4563,
11,-271.5624   33.8995   32.9375,
12,-267.4427   46.3583  -23.4953,
13,-273.6170   30.6526    8.3074,-273.1134   30.9384   10.7017
14,-257.8459  -78.7438  -48.7896,-257.8885  -77.751  -48.4547
15,-234.5787   14.3142  -38.3631,
16,-231.2296    5.6992  -53.9959,-232.4562    4.3527  -54.6146
17,-226.3  -33.5917  -62.9117,
18,-231.8920  -17.5826   49.4424,
